time,pitch,roll
1487475883853,5.6808014,-86.07633
1487475883855,5.6713743,-86.0764
1487475883862,5.6615863,-86.07126
1487475883863,5.6521564,-86.07133
1487475883872,5.642365,-86.066185
1487475883874,5.6329346,-86.06625
1487475883881,5.6325746,-86.06104
1487475883883,5.632214,-86.05583
1487475883892,5.641284,-86.05055
1487475883893,5.6409206,-86.05007
1487475883903,5.649987,-86.044785
1487475883907,5.6496234,-86.03958
1487475883911,5.648892,-86.033875
1487475883912,5.648525,-86.02867
1487475883924,5.6387277,-86.02354
1487475883925,5.62893,-86.02312
1487475883931,5.609693,-86.01806
1487475883933,5.599889,-86.01765
1487475883941,5.590085,-86.01252
1487475883943,5.5802784,-86.01211
1487475883953,5.579904,-86.01163
1487475883955,5.5791564,-86.01066
1487475883961,5.5787826,-86.010185
1487475883962,5.5784044,-86.0097
1487475883971,5.5780272,-86.00921
1487475883973,5.57765,-86.008736
1487475883981,5.5772724,-86.003525
1487475883982,5.576892,-86.003044
1487475883991,5.576892,-86.003044
1487475883993,5.5765104,-86.002556
1487475884003,5.566694,-85.99744
1487475884008,5.5663133,-85.99223
1487475884010,5.556877,-85.99232
1487475884012,5.5659285,-85.98703
1487475884021,5.565544,-85.98182
1487475884022,5.565544,-85.98182
1487475884030,5.5749807,-85.98174
1487475884032,5.565544,-85.98655
1487475884040,5.565544,-85.98655
1487475884042,5.5561085,-85.98663
1487475884053,5.5561085,-85.98191
1487475884055,5.547057,-85.9872
1487475884060,5.547441,-85.98768
1487475884061,5.547822,-85.99288
1487475884070,5.5580196,-85.99848
1487475884072,5.5678363,-85.998886
1487475884080,5.5678363,-85.994156
1487475884081,5.5772724,-85.99408
1487475884090,5.5772724,-85.98936
1487475884092,5.576892,-85.98415
1487475884103,5.567075,-85.97902
1487475884105,5.557258,-85.97862
1487475884109,5.556877,-85.97815
1487475884111,5.547057,-85.97302
1487475884120,5.5372334,-85.972626
1487475884122,5.5274105,-85.97697
1487475884129,5.517587,-85.97657
